Age,Agility,Analytical Aptitude,Durability,Endurance,Flexibility,Hand-Eye Coordination,Nerve,Power,Speed,Strength
8,5.567142857,3.831428571,4.224285714,5.719285714,7.410714286,3.199285714,4.350714286,6.557142857,5.816428571,5.554285714
12,4.951637319,3.634504171,5.004924313,5.025396973,7.436147668,3.628056843,4.973404387,6.352882298,6.280296571,5.685900525
16,4.892696474,4.0207724,4.935152527,5.26406513,6.241236905,4.006270109,4.730810753,6.333554459,6.37393835,5.666730353
20,5.016312249,4.502740379,5.117928137,5.755080527,5.438164843,4.416756415,4.492383672,6.344912883,6.20546181,5.775992476
24,4.961615744,4.642828058,5.093168534,5.844470804,5.255502772,4.57261508,4.374980796,6.217461592,5.887946604,5.764707173
28,4.820413051,4.803640567,4.953999844,5.847122409,4.965221853,4.741449317,4.260554892,5.875037408,5.480024419,5.582447914
32,4.352225421,4.84629326,4.528844734,5.467925402,4.488752738,4.930214031,4.130748482,5.168532449,4.720209024,5.139856061
36,3.630376615,4.804634415,3.797102112,4.618666877,3.876155058,5.161263788,4.05889064,4.112831705,3.62413804,4.41340687
40,2.919707333,4.775139757,3.050733311,3.692920092,3.25652417,5.399878329,3.96560342,3.010789214,2.560631371,3.642541927
44,2.493454907,4.719827586,2.683806366,3.269071618,2.885377984,5.341697613,3.989535809,2.415165782,1.982228117,3.280059682
48,2.248018135,4.666139896,2.540531088,3.058199482,2.671878238,5.361334197,3.960686528,2.137564767,1.710997409,3.118976684
52,2.021098901,4.487912088,2.387527473,2.912774725,2.493791209,5.359450549,3.87293956,1.99021978,1.464368132,3.094120879
56,1.874258065,4.403548387,2.344322581,2.924193548,2.429741935,5.449806452,3.631806452,1.960451613,1.29683871,3.131483871
60,1.857228916,4.340722892,2.320963855,2.880722892,2.433373494,5.442289157,3.702771084,1.968554217,1.23373494,3.189759036
64,1.62826087,4.360434783,2.193478261,2.670434783,2.181304348,5.398695652,3.655217391,1.584782609,1.019565217,2.847826087
68,1.878,4.152,2.328,2.954,2.554,5.154,3.976,2.228,1.128,3.6
72,1.678,4.452,2.228,2.702,2.202,5.202,3.828,1.528,1.028,2.8
