NOC,Sport Category,CountSport
AFG,Wrestling,42
AHO,Athletics,14
ALB,Weightlifting,17
ALG,Athletics,137
AND,Alpine Skiing,105
ANG,Handball,84
ANT,Athletics,96
ARG,Hockey,286
ARM,Wrestling,47
ARU,Athletics,9
ARU,Swimming,9
ASA,Athletics,11
AUS,Swimming,1235
AUT,Alpine Skiing,556
AZE,Wrestling,67
BAH,Athletics,251
BAN,Athletics,28
BAR,Athletics,106
BDI,Athletics,30
BEL,Athletics,493
BEN,Athletics,42
BER,Athletics,62
BHU,Archery,34
BIH,Alpine Skiing,29
BIZ,Athletics,38
BLR,Gymnastics,236
BOL,Athletics,39
BOT,Athletics,74
BRA,Athletics,508
BRN,Athletics,73
BRU,Athletics,6
BUL,Gymnastics,974
BUR,Athletics,26
CAF,Athletics,29
CAM,Swimming,23
CAN,Athletics,1121
CAY,Cycling,31
CGO,Athletics,58
CHA,Athletics,37
CHI,Alpine Skiing,162
CHN,Gymnastics,641
CIV,Athletics,100
CMR,Athletics,96
COD,Athletics,34
COK,Athletics,14
COL,Athletics,207
COM,Athletics,14
CPV,Athletics,11
CRC,Swimming,60
CRO,Swimming,106
CUB,Athletics,427
CYP,Athletics,66
CZE,Cross Country Skiing,206
DEN,Swimming,348
DJI,Athletics,28
DMA,Athletics,15
DOM,Athletics,73
ECU,Athletics,80
EGY,Fencing,181
ERI,Athletics,41
ESA,Swimming,83
ESP,Gymnastics,633
EST,Cross Country Skiing,197
ETH,Athletics,289
FIJ,Athletics,60
FIJ,Swimming,60
FIN,Athletics,856
FRA,Gymnastics,1576
FSM,Athletics,10
FSM,Swimming,10
GAB,Athletics,22
GAM,Athletics,50
GBR,Athletics,2190
GBS,Athletics,12
GEO,Wrestling,67
GEQ,Athletics,37
GER,Athletics,1180
GHA,Athletics,189
GRE,Athletics,650
GRN,Athletics,35
GUA,Swimming,85
GUI,Athletics,29
GUM,Swimming,44
GUY,Athletics,53
HAI,Athletics,58
HKG,Swimming,205
HON,Football,68
HUN,Gymnastics,1242
INA,Badminton,98
IND,Hockey,345
IRI,Wrestling,189
IRL,Athletics,295
IRQ,Football,80
ISL,Alpine Skiing,145
ISR,Swimming,131
ISV,Swimming,81
ITA,Gymnastics,1363
IVB,Athletics,31
JAM,Athletics,674
JOR,Athletics,21
JPN,Gymnastics,1216
KAZ,Cross Country Skiing,240
KEN,Athletics,465
KGZ,Swimming,77
KIR,Athletics,7
KOR,Gymnastics,512
KOS,Athletics,2
KOS,Judo,2
KOS,Swimming,2
KSA,Athletics,105
KUW,Fencing,57
LAO,Athletics,28
LAT,Athletics,135
LBA,Athletics,27
LBR,Athletics,68
LCA,Athletics,19
LES,Athletics,51
LIB,Alpine Skiing,89
LIE,Alpine Skiing,205
LTU,Athletics,104
LUX,Gymnastics,433
MAD,Athletics,57
MAL,Hockey,17
MAR,Athletics,197
MAW,Athletics,45
MDA,Athletics,59
MDV,Athletics,33
MEX,Swimming,393
MGL,Wrestling,110
MHL,Athletics,6
MHL,Swimming,6
MKD,Swimming,30
MLI,Athletics,32
MLT,Athletics,20
MNE,Water Polo,39
MON,Shooting,51
MOZ,Athletics,37
MRI,Athletics,47
MTN,Athletics,22
MYA,Athletics,30
NAM,Athletics,30
NCA,Athletics,37
NED,Swimming,693
NEP,Athletics,38
NGR,Athletics,414
NIG,Athletics,21
NOR,Cross Country Skiing,578
NRU,Weightlifting,11
NZL,Swimming,306
OMA,Athletics,38
PAK,Hockey,245
PAN,Athletics,36
PAR,Football,34
PER,Shooting,88
PHI,Swimming,197
PLW,Athletics,9
PNG,Athletics,57
POL,Athletics,826
POR,Athletics,321
PRK,Gymnastics,261
PUR,Swimming,185
QAT,Athletics,92
RHO,Athletics,4
RHO,Boxing,4
ROU,Gymnastics,1172
RSA,Athletics,369
RUS,Athletics,576
RWA,Athletics,39
SAM,Boxing,18
SEN,Athletics,162
SEY,Athletics,47
SGP,Swimming,143
SKN,Athletics,42
SLE,Athletics,96
SLO,Alpine Skiing,198
SMR,Shooting,55
SOL,Athletics,17
SOM,Athletics,32
SRB,Volleyball,59
SRI,Athletics,67
SSD,Athletics,3
STP,Athletics,12
SUD,Athletics,53
SUI,Gymnastics,863
SUR,Athletics,29
SUR,Swimming,29
SVK,Ice Hockey,155
SWE,Athletics,949
SWZ,Athletics,34
SYR,Wrestling,38
TAN,Athletics,102
TGA,Athletics,19
THA,Athletics,158
TJK,Athletics,11
TJK,Wrestling,11
TKM,Athletics,11
TLS,Athletics,7
TOG,Athletics,31
TPE,Swimming,159
TTO,Athletics,247
TUN,Athletics,74
TUR,Wrestling,266
TUV,Athletics,5
UAE,Swimming,61
UGA,Athletics,143
UKR,Athletics,370
URU,Cycling,103
USA,Athletics,3082
UZB,Athletics,82
VAN,Athletics,25
VEN,Swimming,161
VIN,Athletics,36
VNM,Cycling,31
YEM,Athletics,14
ZAM,Athletics,70
